Window: seq SEED: seq SCORE: 
Window: seq SEED: seq SCORE: 
Window: seq SEED: seq SCORE: 
Window: seq SEED: seq SCORE: 
Window: seq SEED: seq SCORE: 
Window: seq SEED: seq SCORE: 
Window: 26 SEED: 1 SCORE: 14
Window: 26 SEED: 2 SCORE: 14
Window: 26 SEED: 3 SCORE: 13
Window: 26 SEED: 4 SCORE: 14
Window: 26 SEED: 5 SCORE: 14
Window: 27 SEED: 1 SCORE: 14
Window: 27 SEED: 2 SCORE: 14
Window: 27 SEED: 3 SCORE: 14
Window: 27 SEED: 4 SCORE: 14
Window: 27 SEED: 5 SCORE: 14
Window: 28 SEED: 1 SCORE: 13
Window: 28 SEED: 2 SCORE: 14
Window: 28 SEED: 3 SCORE: 14
Window: 28 SEED: 4 SCORE: 14
Window: 28 SEED: 5 SCORE: 14
Window: 29 SEED: 1 SCORE: 14
Window: 29 SEED: 2 SCORE: 14
Window: 29 SEED: 3 SCORE: 14
Window: 29 SEED: 4 SCORE: 14
Window: 29 SEED: 5 SCORE: 14
Window: 30 SEED: 1 SCORE: 14
Window: 30 SEED: 2 SCORE: 14
Window: 30 SEED: 3 SCORE: 14
Window: 30 SEED: 4 SCORE: 14
Window: 30 SEED: 5 SCORE: 14
Window: 31 SEED: 1 SCORE: 14
Window: 31 SEED: 2 SCORE: 14
Window: 31 SEED: 3 SCORE: 14
Window: 31 SEED: 4 SCORE: 14
Window: 31 SEED: 5 SCORE: 14
Window: 32 SEED: 1 SCORE: 14
Window: 32 SEED: 2 SCORE: 14
Window: 32 SEED: 3 SCORE: 14
Window: 32 SEED: 4 SCORE: 14
Window: 32 SEED: 5 SCORE: 14
Window: 33 SEED: 1 SCORE: 14
Window: 33 SEED: 2 SCORE: 14
Window: 33 SEED: 3 SCORE: 14
Window: 33 SEED: 4 SCORE: 14
Window: 33 SEED: 5 SCORE: 14
Window: 34 SEED: 1 SCORE: 14
Window: 34 SEED: 2 SCORE: 14
Window: 34 SEED: 3 SCORE: 14
Window: 34 SEED: 4 SCORE: 14
Window: 34 SEED: 5 SCORE: 14
Window: 35 SEED: 1 SCORE: 14
Window: 35 SEED: 2 SCORE: 14
Window: 35 SEED: 3 SCORE: 14
Window: 35 SEED: 4 SCORE: 14
Window: 35 SEED: 5 SCORE: 14
Window: 36 SEED: 1 SCORE: 14
Window: 36 SEED: 2 SCORE: 14
Window: 36 SEED: 3 SCORE: 14
Window: 36 SEED: 4 SCORE: 14
Window: 36 SEED: 5 SCORE: 14
Window: 37 SEED: 1 SCORE: 14
Window: 37 SEED: 2 SCORE: 14
Window: 37 SEED: 3 SCORE: 14
Window: 37 SEED: 4 SCORE: 14
Window: 37 SEED: 5 SCORE: 14
Window: 38 SEED: 1 SCORE: 14
Window: 38 SEED: 2 SCORE: 14
Window: 38 SEED: 3 SCORE: 14
Window: 38 SEED: 4 SCORE: 14
Window: 38 SEED: 5 SCORE: 14
Window: 39 SEED: 1 SCORE: 14
Window: 39 SEED: 2 SCORE: 14
Window: 39 SEED: 3 SCORE: 14
Window: 39 SEED: 4 SCORE: 14
Window: 39 SEED: 5 SCORE: 14
Window: 40 SEED: 1 SCORE: 14
Window: 40 SEED: 2 SCORE: 14
Window: 40 SEED: 3 SCORE: 14
Window: 40 SEED: 4 SCORE: 14
Window: 40 SEED: 5 SCORE: 14
Window: 41 SEED: 1 SCORE: 14
Window: 41 SEED: 2 SCORE: 14
Window: 41 SEED: 3 SCORE: 14
Window: 41 SEED: 4 SCORE: 14
Window: 41 SEED: 5 SCORE: 14
Window: 42 SEED: 1 SCORE: 14
Window: 42 SEED: 2 SCORE: 14
Window: 42 SEED: 3 SCORE: 14
Window: 42 SEED: 4 SCORE: 14
Window: 42 SEED: 5 SCORE: 14
Window: 43 SEED: 1 SCORE: 14
Window: 43 SEED: 2 SCORE: 14
Window: 43 SEED: 3 SCORE: 14
Window: 43 SEED: 4 SCORE: 14
Window: 43 SEED: 5 SCORE: 14
Window: 44 SEED: 1 SCORE: 14
Window: 44 SEED: 2 SCORE: 14
Window: 44 SEED: 3 SCORE: 14
Window: 44 SEED: 4 SCORE: 14
Window: 44 SEED: 5 SCORE: 14
Window: 45 SEED: 1 SCORE: 14
Window: 45 SEED: 2 SCORE: 14
Window: 45 SEED: 3 SCORE: 14
Window: 45 SEED: 4 SCORE: 14
Window: 45 SEED: 5 SCORE: 14
Window: 46 SEED: 1 SCORE: 14
Window: 46 SEED: 2 SCORE: 14
Window: 46 SEED: 3 SCORE: 14
Window: 46 SEED: 4 SCORE: 14
Window: 46 SEED: 5 SCORE: 14
Window: 47 SEED: 1 SCORE: 14
Window: 47 SEED: 2 SCORE: 14
Window: 47 SEED: 3 SCORE: 14
Window: 47 SEED: 4 SCORE: 14
Window: 47 SEED: 5 SCORE: 14
Window: 48 SEED: 1 SCORE: 14
Window: 48 SEED: 2 SCORE: 14
Window: 48 SEED: 3 SCORE: 14
Window: 48 SEED: 4 SCORE: 14
Window: 48 SEED: 5 SCORE: 14
Window: 49 SEED: 1 SCORE: 14
Window: 49 SEED: 2 SCORE: 14
Window: 49 SEED: 3 SCORE: 14
Window: 49 SEED: 4 SCORE: 14
Window: 49 SEED: 5 SCORE: 14
Window: 50 SEED: 1 SCORE: 14
Window: 50 SEED: 2 SCORE: 14
Window: 50 SEED: 3 SCORE: 14
Window: 50 SEED: 4 SCORE: 14
Window: 50 SEED: 5 SCORE: 14
Window: 51 SEED: 1 SCORE: 14
Window: 51 SEED: 2 SCORE: 14
Window: 51 SEED: 3 SCORE: 14
Window: 51 SEED: 4 SCORE: 14
Window: 51 SEED: 5 SCORE: 14
Window: 52 SEED: 1 SCORE: 14
Window: 52 SEED: 2 SCORE: 14
Window: 52 SEED: 3 SCORE: 14
Window: 52 SEED: 4 SCORE: 14
Window: 52 SEED: 5 SCORE: 14
Window: 53 SEED: 1 SCORE: 14
Window: 53 SEED: 2 SCORE: 14
Window: 53 SEED: 3 SCORE: 14
Window: 53 SEED: 4 SCORE: 14
Window: 53 SEED: 5 SCORE: 14
Window: 54 SEED: 1 SCORE: 14
Window: 54 SEED: 2 SCORE: 14
Window: 54 SEED: 3 SCORE: 14
Window: 54 SEED: 4 SCORE: 13
Window: 54 SEED: 5 SCORE: 14
Window: 55 SEED: 1 SCORE: 14
Window: 55 SEED: 2 SCORE: 14
Window: 55 SEED: 3 SCORE: 14
Window: 55 SEED: 4 SCORE: 14
Window: 55 SEED: 5 SCORE: 14
Window: 56 SEED: 1 SCORE: 14
Window: 56 SEED: 2 SCORE: 14
Window: 56 SEED: 3 SCORE: 14
Window: 56 SEED: 4 SCORE: 14
Window: 56 SEED: 5 SCORE: 14
Window: 57 SEED: 1 SCORE: 14
Window: 57 SEED: 2 SCORE: 14
Window: 57 SEED: 3 SCORE: 14
Window: 57 SEED: 4 SCORE: 14
Window: 57 SEED: 5 SCORE: 14
Window: 58 SEED: 1 SCORE: 14
Window: 58 SEED: 2 SCORE: 14
Window: 58 SEED: 3 SCORE: 14
Window: 58 SEED: 4 SCORE: 14
Window: 58 SEED: 5 SCORE: 14
Window: 59 SEED: 1 SCORE: 14
Window: 59 SEED: 2 SCORE: 14
Window: 59 SEED: 3 SCORE: 14
Window: 59 SEED: 4 SCORE: 14
Window: 59 SEED: 5 SCORE: 14
Window: 60 SEED: 1 SCORE: 14
Window: 60 SEED: 2 SCORE: 14
Window: 60 SEED: 3 SCORE: 14
Window: 60 SEED: 4 SCORE: 14
Window: 60 SEED: 5 SCORE: 14
Window: 61 SEED: 1 SCORE: 14
Window: 61 SEED: 2 SCORE: 14
Window: 61 SEED: 3 SCORE: 14
Window: 61 SEED: 4 SCORE: 14
Window: 61 SEED: 5 SCORE: 14
Window: 62 SEED: 1 SCORE: 14
Window: 62 SEED: 2 SCORE: 14
Window: 62 SEED: 3 SCORE: 14
Window: 62 SEED: 4 SCORE: 14
Window: 62 SEED: 5 SCORE: 14
Window: 63 SEED: 1 SCORE: 14
Window: 63 SEED: 2 SCORE: 14
Window: 63 SEED: 3 SCORE: 14
Window: 63 SEED: 4 SCORE: 14
Window: 63 SEED: 5 SCORE: 14
Window: 64 SEED: 1 SCORE: 14
Window: 64 SEED: 2 SCORE: 14
Window: 64 SEED: 3 SCORE: 14
Window: 64 SEED: 4 SCORE: 14
Window: 64 SEED: 5 SCORE: 14
Window: 65 SEED: 1 SCORE: 14
Window: 65 SEED: 2 SCORE: 14
Window: 65 SEED: 3 SCORE: 14
Window: 65 SEED: 4 SCORE: 14
Window: 65 SEED: 5 SCORE: 14
Window: 66 SEED: 1 SCORE: 14
Window: 66 SEED: 2 SCORE: 14
Window: 66 SEED: 3 SCORE: 14
Window: 66 SEED: 4 SCORE: 14
Window: 66 SEED: 5 SCORE: 14
Window: 67 SEED: 1 SCORE: 14
Window: 67 SEED: 2 SCORE: 14
Window: 67 SEED: 3 SCORE: 14
Window: 67 SEED: 4 SCORE: 14
Window: 67 SEED: 5 SCORE: 14
Window: 68 SEED: 1 SCORE: 14
Window: 68 SEED: 2 SCORE: 14
Window: 68 SEED: 3 SCORE: 14
Window: 68 SEED: 4 SCORE: 14
Window: 68 SEED: 5 SCORE: 14
Window: 69 SEED: 1 SCORE: 14
Window: 69 SEED: 2 SCORE: 14
Window: 69 SEED: 3 SCORE: 14
Window: 69 SEED: 4 SCORE: 14
Window: 69 SEED: 5 SCORE: 14
Window: 70 SEED: 1 SCORE: 14
Window: 70 SEED: 2 SCORE: 14
Window: 70 SEED: 3 SCORE: 14
Window: 70 SEED: 4 SCORE: 14
Window: 70 SEED: 5 SCORE: 14
Window: 71 SEED: 1 SCORE: 14
Window: 71 SEED: 2 SCORE: 14
Window: 71 SEED: 3 SCORE: 14
Window: 71 SEED: 4 SCORE: 14
Window: 71 SEED: 5 SCORE: 14
Window: 72 SEED: 1 SCORE: 14
Window: 72 SEED: 2 SCORE: 14
Window: 72 SEED: 3 SCORE: 14
Window: 72 SEED: 4 SCORE: 14
Window: 72 SEED: 5 SCORE: 14
Window: 73 SEED: 1 SCORE: 14
Window: 73 SEED: 2 SCORE: 14
Window: 73 SEED: 3 SCORE: 14
Window: 73 SEED: 4 SCORE: 14
Window: 73 SEED: 5 SCORE: 14
Window: 74 SEED: 1 SCORE: 14
Window: 74 SEED: 2 SCORE: 14
Window: 74 SEED: 3 SCORE: 14
Window: 74 SEED: 4 SCORE: 14
Window: 74 SEED: 5 SCORE: 14
Window: 75 SEED: 1 SCORE: 14
Window: 75 SEED: 2 SCORE: 14
Window: 75 SEED: 3 SCORE: 14
Window: 75 SEED: 4 SCORE: 14
Window: 75 SEED: 5 SCORE: 14
Window: 76 SEED: 1 SCORE: 14
Window: 76 SEED: 2 SCORE: 14
Window: 76 SEED: 3 SCORE: 14
Window: 76 SEED: 4 SCORE: 14
Window: 76 SEED: 5 SCORE: 14
Window: 77 SEED: 1 SCORE: 14
Window: 77 SEED: 2 SCORE: 14
Window: 77 SEED: 3 SCORE: 14
Window: 77 SEED: 4 SCORE: 14
Window: 77 SEED: 5 SCORE: 14
Window: 78 SEED: 1 SCORE: 14
Window: 78 SEED: 2 SCORE: 14
Window: 78 SEED: 3 SCORE: 14
Window: 78 SEED: 4 SCORE: 14
Window: 78 SEED: 5 SCORE: 14
Window: 79 SEED: 1 SCORE: 14
Window: 79 SEED: 2 SCORE: 14
Window: 79 SEED: 3 SCORE: 14
Window: 79 SEED: 4 SCORE: 14
Window: 79 SEED: 5 SCORE: 14
Window: 80 SEED: 1 SCORE: 14
Window: 80 SEED: 2 SCORE: 14
Window: 80 SEED: 3 SCORE: 14
Window: 80 SEED: 4 SCORE: 14
Window: 80 SEED: 5 SCORE: 14
Window: 81 SEED: 1 SCORE: 14
Window: 81 SEED: 2 SCORE: 14
Window: 81 SEED: 3 SCORE: 14
Window: 81 SEED: 4 SCORE: 14
Window: 81 SEED: 5 SCORE: 14
Window: 82 SEED: 1 SCORE: 14
Window: 82 SEED: 2 SCORE: 14
Window: 82 SEED: 3 SCORE: 14
Window: 82 SEED: 4 SCORE: 14
Window: 82 SEED: 5 SCORE: 14
Window: 83 SEED: 1 SCORE: 14
Window: 83 SEED: 2 SCORE: 14
Window: 83 SEED: 3 SCORE: 14
Window: 83 SEED: 4 SCORE: 14
Window: 83 SEED: 5 SCORE: 14
Window: 84 SEED: 1 SCORE: 14
Window: 84 SEED: 2 SCORE: 14
Window: 84 SEED: 3 SCORE: 14
Window: 84 SEED: 4 SCORE: 14
Window: 84 SEED: 5 SCORE: 14
Window: 85 SEED: 1 SCORE: 14
Window: 85 SEED: 2 SCORE: 14
Window: 85 SEED: 3 SCORE: 14
Window: 85 SEED: 4 SCORE: 14
Window: 85 SEED: 5 SCORE: 14
Window: 86 SEED: 1 SCORE: 14
Window: 86 SEED: 2 SCORE: 14
Window: 86 SEED: 3 SCORE: 14
Window: 86 SEED: 4 SCORE: 14
Window: 86 SEED: 5 SCORE: 14
Window: 87 SEED: 1 SCORE: 14
Window: 87 SEED: 2 SCORE: 14
Window: 87 SEED: 3 SCORE: 14
Window: 87 SEED: 4 SCORE: 14
Window: 87 SEED: 5 SCORE: 14
Window: 88 SEED: 1 SCORE: 14
Window: 88 SEED: 2 SCORE: 14
Window: 88 SEED: 3 SCORE: 14
Window: 88 SEED: 4 SCORE: 14
Window: 88 SEED: 5 SCORE: 14
Window: 89 SEED: 1 SCORE: 14
Window: 89 SEED: 2 SCORE: 14
Window: 89 SEED: 3 SCORE: 14
Window: 89 SEED: 4 SCORE: 14
Window: 89 SEED: 5 SCORE: 14
Window: 90 SEED: 1 SCORE: 14
Window: 90 SEED: 2 SCORE: 14
Window: 90 SEED: 3 SCORE: 14
Window: 90 SEED: 4 SCORE: 14
Window: 90 SEED: 5 SCORE: 14
Window: 91 SEED: 1 SCORE: 14
Window: 91 SEED: 2 SCORE: 14
Window: 91 SEED: 3 SCORE: 14
Window: 91 SEED: 4 SCORE: 14
Window: 91 SEED: 5 SCORE: 14
Window: 92 SEED: 1 SCORE: 14
Window: 92 SEED: 2 SCORE: 14
Window: 92 SEED: 3 SCORE: 14
Window: 92 SEED: 4 SCORE: 14
Window: 92 SEED: 5 SCORE: 14
Window: 93 SEED: 1 SCORE: 14
Window: 93 SEED: 2 SCORE: 14
Window: 93 SEED: 3 SCORE: 14
Window: 93 SEED: 4 SCORE: 14
Window: 93 SEED: 5 SCORE: 14
Window: 94 SEED: 1 SCORE: 14
Window: 94 SEED: 2 SCORE: 14
Window: 94 SEED: 3 SCORE: 14
Window: 94 SEED: 4 SCORE: 14
Window: 94 SEED: 5 SCORE: 14
Window: 95 SEED: 1 SCORE: 14
Window: 95 SEED: 2 SCORE: 14
Window: 95 SEED: 3 SCORE: 14
Window: 95 SEED: 4 SCORE: 14
Window: 95 SEED: 5 SCORE: 14
Window: 96 SEED: 1 SCORE: 14
Window: 96 SEED: 2 SCORE: 14
Window: 96 SEED: 3 SCORE: 14
Window: 96 SEED: 4 SCORE: 14
Window: 96 SEED: 5 SCORE: 14
Window: 97 SEED: 1 SCORE: 14
Window: 97 SEED: 2 SCORE: 14
Window: 97 SEED: 3 SCORE: 14
Window: 97 SEED: 4 SCORE: 14
Window: 97 SEED: 5 SCORE: 14
Window: 98 SEED: 1 SCORE: 14
Window: 98 SEED: 2 SCORE: 14
Window: 98 SEED: 3 SCORE: 14
Window: 98 SEED: 4 SCORE: 14
Window: 98 SEED: 5 SCORE: 14
Window: 99 SEED: 1 SCORE: 14
Window: 99 SEED: 2 SCORE: 14
Window: 99 SEED: 3 SCORE: 14
Window: 99 SEED: 4 SCORE: 14
Window: 99 SEED: 5 SCORE: 14
Window: 100 SEED: 1 SCORE: 14
Window: 100 SEED: 2 SCORE: 14
Window: 100 SEED: 3 SCORE: 14
Window: 100 SEED: 4 SCORE: 14
Window: 100 SEED: 5 SCORE: 14
Window: 1 SEED: 1 SCORE: 14
Window: 1 SEED: 2 SCORE: 14
Window: 1 SEED: 1 SCORE: 14
Window: 1 SEED: 2 SCORE: 14
Window: 1 SEED: 3 SCORE: 14
Window: 1 SEED: 4 SCORE: 14
Window: 1 SEED: 5 SCORE: 14
Window: 2 SEED: 1 SCORE: 14
Window: 2 SEED: 2 SCORE: 14
Window: 2 SEED: 3 SCORE: 14
Window: 2 SEED: 4 SCORE: 14
Window: 2 SEED: 5 SCORE: 14
Window: 3 SEED: 1 SCORE: 14
Window: 3 SEED: 2 SCORE: 14
Window: 3 SEED: 3 SCORE: 14
Window: 3 SEED: 4 SCORE: 14
Window: 3 SEED: 5 SCORE: 14
Window: 4 SEED: 1 SCORE: 14
Window: 4 SEED: 2 SCORE: 14
Window: 4 SEED: 3 SCORE: 14
Window: 4 SEED: 4 SCORE: 14
Window: 4 SEED: 5 SCORE: 14
Window: 5 SEED: 1 SCORE: 14
Window: 5 SEED: 2 SCORE: 14
Window: 5 SEED: 3 SCORE: 14
Window: 5 SEED: 4 SCORE: 14
Window: 5 SEED: 5 SCORE: 14
Window: 6 SEED: 1 SCORE: 14
Window: 6 SEED: 2 SCORE: 14
Window: 6 SEED: 3 SCORE: 14
Window: 6 SEED: 4 SCORE: 14
Window: 6 SEED: 5 SCORE: 14
Window: 7 SEED: 1 SCORE: 14
Window: 7 SEED: 2 SCORE: 14
Window: 7 SEED: 3 SCORE: 14
Window: 7 SEED: 4 SCORE: 14
Window: 7 SEED: 5 SCORE: 14
Window: 8 SEED: 1 SCORE: 14
Window: 8 SEED: 2 SCORE: 14
Window: 8 SEED: 3 SCORE: 14
Window: 8 SEED: 4 SCORE: 14
Window: 8 SEED: 5 SCORE: 14
Window: 9 SEED: 1 SCORE: 14
Window: 9 SEED: 2 SCORE: 14
Window: 9 SEED: 3 SCORE: 14
Window: 9 SEED: 4 SCORE: 14
Window: 9 SEED: 5 SCORE: 14
Window: 10 SEED: 1 SCORE: 14
Window: 10 SEED: 2 SCORE: 14
Window: 10 SEED: 3 SCORE: 14
Window: 10 SEED: 4 SCORE: 14
Window: 10 SEED: 5 SCORE: 14
Window: 11 SEED: 1 SCORE: 14
Window: 11 SEED: 2 SCORE: 14
Window: 11 SEED: 3 SCORE: 14
Window: 11 SEED: 4 SCORE: 14
Window: 11 SEED: 5 SCORE: 14
Window: 12 SEED: 1 SCORE: 14
Window: 12 SEED: 2 SCORE: 14
Window: 12 SEED: 3 SCORE: 14
Window: 12 SEED: 4 SCORE: 14
Window: 12 SEED: 5 SCORE: 14
Window: 13 SEED: 1 SCORE: 14
Window: 13 SEED: 2 SCORE: 14
Window: 13 SEED: 3 SCORE: 14
Window: 13 SEED: 4 SCORE: 14
Window: 13 SEED: 5 SCORE: 14
Window: 14 SEED: 1 SCORE: 14
Window: 14 SEED: 2 SCORE: 14
Window: 14 SEED: 3 SCORE: 14
Window: 14 SEED: 4 SCORE: 14
Window: 14 SEED: 5 SCORE: 14
Window: 15 SEED: 1 SCORE: 14
Window: 15 SEED: 2 SCORE: 14
Window: 15 SEED: 3 SCORE: 14
Window: 15 SEED: 4 SCORE: 14
Window: 15 SEED: 5 SCORE: 14
Window: 16 SEED: 1 SCORE: 14
Window: 16 SEED: 2 SCORE: 14
Window: 16 SEED: 3 SCORE: 14
Window: 16 SEED: 4 SCORE: 14
Window: 16 SEED: 5 SCORE: 14
Window: 17 SEED: 1 SCORE: 14
Window: 17 SEED: 2 SCORE: 14
Window: 17 SEED: 3 SCORE: 14
Window: 17 SEED: 4 SCORE: 14
Window: 17 SEED: 5 SCORE: 14
Window: 18 SEED: 1 SCORE: 14
Window: 18 SEED: 2 SCORE: 14
Window: 18 SEED: 3 SCORE: 14
Window: 18 SEED: 4 SCORE: 14
Window: 18 SEED: 5 SCORE: 14
Window: 19 SEED: 1 SCORE: 14
Window: 19 SEED: 2 SCORE: 14
Window: 19 SEED: 3 SCORE: 14
Window: 19 SEED: 4 SCORE: 14
Window: 19 SEED: 5 SCORE: 14
Window: 20 SEED: 1 SCORE: 14
Window: 20 SEED: 2 SCORE: 14
Window: 20 SEED: 3 SCORE: 14
Window: 20 SEED: 4 SCORE: 14
Window: 20 SEED: 5 SCORE: 14
Window: 21 SEED: 1 SCORE: 14
Window: 21 SEED: 2 SCORE: 14
Window: 21 SEED: 3 SCORE: 14
Window: 21 SEED: 4 SCORE: 14
Window: 21 SEED: 5 SCORE: 14
Window: 22 SEED: 1 SCORE: 14
Window: 22 SEED: 2 SCORE: 14
Window: 22 SEED: 3 SCORE: 14
Window: 22 SEED: 4 SCORE: 14
Window: 22 SEED: 5 SCORE: 14
Window: 23 SEED: 1 SCORE: 14
Window: 23 SEED: 2 SCORE: 14
Window: 23 SEED: 3 SCORE: 14
Window: 23 SEED: 4 SCORE: 14
Window: 23 SEED: 5 SCORE: 14
Window: 24 SEED: 1 SCORE: 14
Window: 24 SEED: 2 SCORE: 14
